이름,높이,소재지
백덕산,1350.1m,"강원도 평창군 방림면, 횡성군 안흥면, 영월군 수주면"
백암산,741.2m,"전라북도 순창군 복흥면, 전라남도 장성군 북하면"
백운산(광양),1222.2m,"전라남도 광양시 봉강면ㆍ옥룡면ㆍ진상면ㆍ다압면, 구례군 간전면"
백운산(정선),883.5m,"강원도 정선군 신동읍, 평창군 미탄면"
백운산(포천),903.1m,"경기도 포천시 이동면, 강원도 화천군 사내면"
변산,508.6m,"전라북도 부안군 변산면, 상서면, 진서면"
북한산,835.6m,"서울특별시 강북구ㆍ성북구ㆍ종로구ㆍ은평구, 경기도 고양시ㆍ양주시"
비슬산,1083.4m,"대구광역시 달성군 옥포면ㆍ유가면ㆍ가창면, 경상북도 청도군 각북면"
삼악산,655.8m,강원도 춘천시 서면
서대산,905.3m,"충청남도 금산군 추부면ㆍ군북면, 충청북도 옥천군 군서면"
선운산,334.7m,전라북도 고창군 아산면ㆍ심원면ㆍ해리면
설악산,1708.1m,"강원도 속초시 설악동, 인제군 북면ㆍ인제읍, 양양군 서면ㆍ강현면"
성인봉,986.5m,경상북도 울릉군 울릉읍 서면ㆍ북면
소백산,1439.7m,"경상북도 영주시 풍기읍, 충청북도 단양군 단양읍"
소요산,587.5m,"경기도 동두천시, 포천시 신북면"
속리산,1058.4m,"경상북도 상주시 화북면, 충청북도 보은군 내속리면"
신불산,1159.3m,울산광역시 울주군 삼남면ㆍ상북면
연화산,524m,경상남도 고성군 개천면ㆍ영현면
오대산,1565.4m,"강원도 평창군 진부면, 홍천군 내면, 강릉시 연곡면"
오봉산,777.9m,"강원도 춘천시 북산면, 화천군 간동면"
용문산,1157.1m,경기도 양평군 용문면ㆍ옥천면
용화산,877.8m,"강원도 화천군 간동면ㆍ하남면, 춘천시 사북면"
운문산,1195.1m,"경상북도 청도군 운문면, 경상남도 밀양시 산내면"
운악산,934.7m,"경기도 가평군 하면, 포천시 화현면"
운장산,1125.8m,"전라북도 진안군 주천면ㆍ부귀면ㆍ정천면, 완주군 동상면"
월악산,1095.3m,"충청북도 제천시 한수면, 덕산면"
월출산,810.7m,"전라남도 영암군 영암읍ㆍ군서면ㆍ학산면, 강진군 성전면"
유명산,864m,"경기도 가평군 설악면, 양평군 옥천면"
응봉산,999.7m,"강원도 삼척시 가곡면ㆍ원덕읍, 경상북도 울진군 북면"
장안산,1237.4m,"전라북도 장수군 장수읍, 계남면"
재약산,1119.1m,"경상남도 밀양시 단장면ㆍ산내면, 울산광역시 울주군 상북면"
적상산,1030.6m,전라북도 무주군 적상면
점봉산,1426m,"강원도 양양군 서면, 인제군 기린면ㆍ인제읍"
조계산,887.3m,전라남도 순천시 승주읍ㆍ송광면
주왕산,722.1m,"경상북도 청송군 청송읍ㆍ부동면, 영덕군 지품면ㆍ달산면"
주흘산,1108.4m,경상북도 문경시 문경읍
지리산,1915.4m,"전라북도 남원시, 전라남도 구례군, 경상남도 하동군ㆍ산청군ㆍ함양군"
